title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
Assessing Consistency and Reproducibility in the Outputs of Large Language Models: Evidence Across Diverse Finance and Accounting Tasks,This study provides the first comprehensive assessment of consistency and reproducibility in Large Language Model (LLM) outputs in finance and accounting research. We evaluate how consistently LLMs produce outputs given identical inputs thr...,2025,arXiv.org,24,0,10.48550/arXiv.2503.16974,https://doi.org/10.48550/arXiv.2503.16974,semantic_scholar,J. Wang|V. X. Wang,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"Discordance, accuracy and reproducibility study of pathologists’ diagnosis of melanoma and melanocytic tumors",Accurate melanoma diagnosis is crucial for patient outcomes and reliability of AI diagnostic tools. We assess interrater variability among eight expert pathologists reviewing histopathological images and clinical metadata of 792 melanoma-su...,2025,Nature Communications,17,0,10.1038/s41467-025-56160-x,https://doi.org/10.1038/s41467-025-56160-x,semantic_scholar,Sarah Haggenmüller|C. Wies|Julia Abels|J. Winterstein|Lukas Heinlein|Carina Nogueira Garcia|J. Utikal|S. Wohlfeil|Friedegund Meier|S. Hobelsberger|F. Gellrich|M. Sergon|Axel Hauschild|Lars E. French|Lucie M. Heinzerling|Justin G. Schlager|Kamran Ghoreschi|Max Schlaak|F. Hilke|G. Poch|Sören Korsing|C,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"fNIRS reproducibility varies with data quality, analysis pipelines, and researcher experience","As data analysis pipelines grow more complex in brain imaging research, understanding how methodological choices affect results is essential for ensuring reproducibility and transparency. This is especially relevant for functional Near-Infr...",2025,Communications Biology,15,0,10.1038/s42003-025-08412-1,https://doi.org/10.1038/s42003-025-08412-1,semantic_scholar,Meryem A. Yücel|Robert Luke|R. Mesquita|A. von Lühmann|David M. A. Mehler|Michael Lührs|Jessica Gemignani|A. Abdalmalak|F. Albrecht|Iara de Almeida Ivo|Christina Artemenko|Kira Ashton|Paweł Augustynowicz|Aahana Bajracharya|Elise Bannier|Beatrix Barth|L. Bayet|Jacqueline Behrendt|Hadi Borj Khani|Lena,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Open science interventions to improve reproducibility and replicability of research: a scoping review,"Various open science practices have been proposed to improve the reproducibility and replicability of scientific research, but not for all practices, there may be evidence they are indeed effective. Therefore, we conducted a scoping review ...",2025,Royal Society Open Science,14,0,10.1098/rsos.242057,https://doi.org/10.1098/rsos.242057,semantic_scholar,Leonie A. Dudda|Eva Kormann|Magdalena Kozula|N. Devito|Thomas Klebel|A. P. M. Dewi|René Spijker|I. Stegeman|Veerle Van den Eynden|Tony Ross-Hellauer|M. Leeflang,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
'Publish or perish' culture blamed for reproducibility crisis.,,2025,Nature,14,0,10.1038/d41586-024-04253-w,https://doi.org/10.1038/d41586-024-04253-w,semantic_scholar,Laurie Udesky,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Reproducibility in Management Science,<p>With the help of more than 700 reviewers we assess the reproducibility of nearly 500 articles published in the journal Management Science before and after the introduction of a new Data and Code Disclosure policy in 2019. When considerin...,2023,,3,0,10.31219/osf.io/mydzv,https://doi.org/10.31219/osf.io/mydzv,crossref,Miloš Fišar|Ben Greiner|Christoph Huber|Elena Katok|Ali Ozkes|Management Science Reproducibility Collaboration,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
After Computational Reproducibility: Scientific Reproducibility and Trustworthy AI,,2024,Harvard Data Science Review,2,0,10.1162/99608f92.ea5e6f9a,https://doi.org/10.1162/99608f92.ea5e6f9a,crossref,Bin Yu,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Summer of Reproducibility: Building Global Capacity for Practical Reproducibility through Hands-On Mentorship,,2025,Proceedings of the 3rd ACM Conference on Reproducibility and Replicability,1,0,10.1145/3736731.3746149,https://doi.org/10.1145/3736731.3746149,crossref,Stephanie Lieggi|Fraida Fund|Kate Keahey|Marc Richardson,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
BioModels Reproducibility Scorecard,"<jats:p>Systems biology modelling involves the mathematical representation of biological processes to study complex system behaviour and was expected to be least affected by the reproducibility crisis. However, models often fail to reproduc...",2022,,0,0,10.52843/cassyni.x36fmy,https://doi.org/10.52843/cassyni.x36fmy,crossref,,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Reproducibility,,2026,,0,0,10.5194/egusphere-2025-5497-rc1,https://doi.org/10.5194/egusphere-2025-5497-rc1,crossref,,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Rigor and Reproducibility in Research,,2024,,0,0,10.4135/9781036219994,https://doi.org/10.4135/9781036219994,crossref,,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"Validity of biomedical science, reproducibility, and irreproducibility",,2024,Reproducibility in Biomedical Research,0,0,10.1016/b978-0-443-13829-4.00013-1,https://doi.org/10.1016/b978-0-443-13829-4.00013-1,crossref,Erwin B. Montgomery,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Committing to Reproducibility and Explainability]{Committing to Reproducibility and Explainability: Version Control as Research Journal,<jats:title>Abstract</jats:title> <jats:p>Traditional critical editions in print offer a model for creating a culture of reproducible and explainable research in Digital Humanities. In addition to explaining their editorial methods and prac...,2023,,0,0,10.21203/rs.3.rs-2640542/v1,https://doi.org/10.21203/rs.3.rs-2640542/v1,crossref,Samuel Huskey,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Form to Assess Result Reproducibility of Manuscripts,"<jats:p>Use this worksheet to assess the: (a) availability of manuscript data, models, code, directions, and other digital artifacts; and (b) reproducibility of figures, tables, and other results presented in the manuscript. Should you answ...",2024,,0,0,10.1061/reprod.000001,https://doi.org/10.1061/reprod.000001,crossref,|Jelian Larbi,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"Reproducibility, Transparency, Positionality? Perspectives From Different Research Fields","<jats:p>The word ‘reproducibility’ in UKRN’s name can prompt discussion and even concern that our vision, of a research system that promotes rigour and transparency, excludes some kinds of research. Certainly, many of UKRN’s origins lie in ...",2024,,0,0,10.52843/cassyni.dq8svs,https://doi.org/10.52843/cassyni.dq8svs,crossref,,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
More information needed for reproducibility,,2025,,0,0,10.5194/egusphere-2025-5497-cc5,https://doi.org/10.5194/egusphere-2025-5497-cc5,crossref,,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Resolution and Reproducibility,,2025,,0,0,10.5194/egusphere-2024-3560-ac2,https://doi.org/10.5194/egusphere-2024-3560-ac2,crossref,David Webb,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"reproducibility, n.",,2023,Oxford English Dictionary,0,0,10.1093/oed/4082406807,https://doi.org/10.1093/oed/4082406807,crossref,,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Reproducibility in Biomedical Research,,2024,,0,0,10.1016/c2022-0-02971-8,https://doi.org/10.1016/c2022-0-02971-8,crossref,,0.25,kw:title:reproducibility,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
