title,abstract_snippet,year,venue,citations,influential_citations,doi,url,sources,authors,relevance_score,matched_keywords,reason_included
"Performance of GPT-4 on the American College of Radiology In-training Examination: Evaluating Accuracy, Model Drift, and Fine-tuning.","RATIONALE AND OBJECTIVES In our study, we evaluate GPT-4's performance on the American College of Radiology (ACR) 2022 Diagnostic Radiology In-Training Examination (DXIT). We perform multiple experiments across time points to assess for mod...",2024,Academic Radiology,28,5,10.1016/j.acra.2024.04.006,https://doi.org/10.1016/j.acra.2024.04.006,semantic_scholar,David L. Payne|Kush Purohit|Walter Morales Borrero|Katherine Chung|Max Hao|M. Mpoy|Michael Jin|Prateek Prasanna|V. Hill,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Machine Learning Model Drift: Predicting Diagnostic Imaging Follow-Up as a Case Example.,OBJECTIVE Address model drift in a machine learning (ML) model for predicting diagnostic imaging follow-up using data augmentation with more recent data versus retraining new predictive models. METHODS This institutional review board-approv...,2022,Journal of the American College of Radiology,28,2,10.1016/j.jacr.2022.05.030,https://doi.org/10.1016/j.jacr.2022.05.030,semantic_scholar,Ronilda C. Lacson|Mahsa Eskian|Andro Licaros|Neena Kapoor|R. Khorasani,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Tackling data and model drift in AI: Strategies for maintaining accuracy during ML model inference,"In machine learning (ML) and artificial intelligence (AI), model accuracy over time is very important, particularly in dynamic environments where data and relationships change. Data and model drift pose challenging issues that this paper se...",2023,International Journal of Science and Research Archive,26,2,10.30574/ijsra.2023.10.2.0855,https://doi.org/10.30574/ijsra.2023.10.2.0855,semantic_scholar,Surya Gangadhar Patchipala,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Longitudinal evaluation of iron status during pregnancy: a prospective cohort study in a high-resource setting.,"BACKGROUND Iron deficiency affects a large proportion of pregnant women worldwide, with potentially serious consequences for perinatal and infant outcomes, but well-powered, comprehensive analyses of longitudinal iron status during pregnanc...",2024,American Journal of Clinical Nutrition,24,1,10.1016/j.ajcnut.2024.08.010,https://doi.org/10.1016/j.ajcnut.2024.08.010,semantic_scholar,E. McCarthy|David D. Schneck|Saonli Basu|A. Xenopoulos-Oddsson|F. McCarthy|M. Kiely|M. Georgieff,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Longitudinal evaluation of circulating tumor DNA in patients undergoing neoadjuvant therapy for early breast cancer using a tumor-informed assay,Circulating tumor DNA (ctDNA) is an emerging biomarker for the treatment of early breast cancer (EBC). We sought to evaluate a highly sensitive tumor-informed ctDNA assay in a real-world cohort of patients receiving neoadjuvant therapy (NAT...,2025,Nature Communications,23,2,10.1038/s41467-025-56658-4,https://doi.org/10.1038/s41467-025-56658-4,semantic_scholar,M. Elliott|P. Echelard|C. Pipinikas|S. Main|J. Fuentes Antrás|A. Dou|Z. Veitch|Eitan Amir|M. Nadler|N. Meti|E. Atenafu|Elizabeth Shah|Celeste Yu|Nathan Campbell|R. Ventura|L. Siu|P. Bedard|H. Berman|D. Cescon,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Understanding Model Drift and Its Impact on Health Care Policy.,,2025,JAMA Health Forum,10,0,10.1001/jamahealthforum.2025.2724,https://doi.org/10.1001/jamahealthforum.2025.2724,semantic_scholar,Andrew Wong|Jeremy B Sussman,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Susceptibility of AutoML mortality prediction algorithms to model drift caused by the COVID pandemic,"Concept drift and covariate shift lead to a degradation of machine learning (ML) models. The objective of our study was to characterize sudden data drift as caused by the COVID pandemic. Furthermore, we investigated the suitability of certa...",2024,BMC Medical Informatics and Decision Making,9,0,10.1186/s12911-024-02428-z,https://doi.org/10.1186/s12911-024-02428-z,semantic_scholar,S. Kagerbauer|B. Ulm|A. Podtschaske|D. I. Andonov|Manfred Blobner|Bettina Jungwirth|Martin Graessner,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"Longitudinal evaluation of external quality assessment results for CA 15-3, CA 19-9, and CA 125","Background Tumor markers are established laboratory tools that help to diagnose, estimate prognosis, and monitor the course of cancer. For meaningful decision-making in patient care, it is essential that methods and analytical platforms dem...",2024,Frontiers in Molecular Biosciences,9,2,10.3389/fmolb.2024.1401619,https://doi.org/10.3389/fmolb.2024.1401619,semantic_scholar,Marcel Kremser|Nathalie Weiss|Anne Kaufmann-Stoeck|L. Vierbaum|A. Schmitz|Ingo Schellenberg|Stefan Holdenrieder,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Explainable Artificial Intelligence-Based Model Drift Detection Applicable to Unsupervised Environments,,2023,"Computers, Materials &amp; Continua",8,1,10.32604/cmc.2023.040235,https://doi.org/10.32604/cmc.2023.040235,semantic_scholar,Yongsoo Lee|Yeeun Lee|Eungyu Lee|Taejin Lee,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Joint Prediction of SOH and RUL for Lithium Batteries Considering Capacity Self Recovery and Model Drift,,2025,IEEE Internet of Things Journal,7,0,10.1109/JIOT.2025.3550270,https://doi.org/10.1109/JIOT.2025.3550270,semantic_scholar,Zhen Jia|Zhifei Li|Zhengdong Wang|Zhenbao Liu|C. Vong,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Design and maintenance of community-based cohorts in sub-Saharan Africa: a longitudinal evaluation of participant attrition in SchistoTrack,"Abstract Introduction Understanding participant attrition in longitudinal studies is essential for maintaining cohorts, establishing targeted interventions and assessing potential biases introduced in study analyses. Yet, limited metrics, m...",2025,BMJ public health,6,0,10.1136/bmjph-2024-002151,https://doi.org/10.1136/bmjph-2024-002151,semantic_scholar,C. Puthur|B. Nabatte|B. Tinkitina|N. Kabatereine|Goylette F. Chami,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Longitudinal Evaluation of Implementation of AACN's Healthy Work Environment Framework in an Intensive Care Unit.,"BACKGROUND Bedside nurse turnover in the United States is 22.5%, representing a national challenge that has been attributed to poor work environments. Poor work environments result in decreased nurse satisfaction and retention as well as po...",2025,American Journal of Critical Care,6,0,10.4037/ajcc2025172,https://doi.org/10.4037/ajcc2025172,semantic_scholar,Philip Parker|Heather Pena|Jason Stokes|Jessica Seabrooks|Amanda Ornell|Annie Jaeger|Adam Millard|Robert Stern|Benjamin R. Edwards|Kelly M. Kester|Bradi B. Granger,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Longitudinal Evaluation of Cough Hypersensitivity Questionnaire in a Cohort of Chronic Cough.,"CLINICAL IMPLICATIONS Cough reflex hypersensitivity is increasingly recognized as a key treatable trait, and the Cough Hypersensitivity Questionnaire may serve as a reliable and responsive tool for measuring hypersensitivity symptoms in pat...",2025,Journal of Allergy and Clinical Immunology: In Practice,6,0,10.1016/j.jaip.2025.02.025,https://doi.org/10.1016/j.jaip.2025.02.025,semantic_scholar,Mi-Yeong Kim|Hwa Young Lee|Ji-Yoon Oh|N. Kang|Sung-Yoon Kang|Eun-Jung Jo|Han-Ki Park|Seung-Eun Lee|Ji-Yong Moon|Y. Yoo|Ha-Kyeong Won|J. An|K. Park|Ye-Jee Kim|J. Bahn|M. Oh|Surinder S. Birring|Woo-Jung Song,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Data Quality Aware Approaches for Addressing Model Drift of Semantic Segmentation Models,"In the midst of the rapid integration of artificial intelligence (AI) into real world applications, one pressing challenge we confront is the phenomenon of model drift, wherein the performance of AI models gradually degrades over time, comp...",2024,VISIGRAPP : VISAPP,5,0,10.48550/arXiv.2402.07258,https://doi.org/10.48550/arXiv.2402.07258,semantic_scholar,Samiha Mirza|Vuong D. Nguyen|Pranav Mantini|Shishir K. Shah,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Dual Self-Attention is What You Need for Model Drift Detection in 6G Networks,"The advent of 6G networks heralds a transformative shift in communication technology, with Artificial Intelligence (AI) and Machine Learning (ML) forming the backbone of its architecture and operations. However, the dynamic nature of 6G env...",2025,IEEE Transactions on Machine Learning in Communications and Networking,4,0,10.1109/TMLCN.2025.3576727,https://doi.org/10.1109/TMLCN.2025.3576727,semantic_scholar,Mazene Ameur|Bouziane Brik|Adlen Ksentini,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
The Delphi of ORACLE: An Expert Consensus Survey for the Development of the Observational Risk Assessment of Contractures (Longitudinal Evaluation),"Objective Despite rising prevalence rates, no standard tool is available to identify individuals at risk of developing contractures. This study aimed to gain expert consensus on items for the development of the Observational Risk Assessment...",2024,Clinical Rehabilitation,4,0,10.1177/02692155241229285,https://doi.org/10.1177/02692155241229285,semantic_scholar,Hina Tariq|Kathryn C Collins|Joel Dunn|D. Tait|Sam Porter,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Model Drift in Deployed Machine Learning Models for Predicting Learning Success,"The use of learning success prediction models is increasingly becoming a part of practice in educational institutions. While recent studies have primarily focused on the development of predictive models, the issue of their temporal stabilit...",2025,De Computis,3,0,10.3390/computers14090351,https://doi.org/10.3390/computers14090351,semantic_scholar,T. A. Kustitskaya|R. Esin|M. V. Noskov,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Model Drift-Adaptive Resource Reservation in ISAC Networks: A Digital Twin-Based Approach,"Reserving resources in integrated sensing and communication (ISAC) networks requires the predictive modelling of the demand and performance of a sensing service, which can be achieved by the synergy of mathematical and Artificial Intelligen...",2024,2024 IEEE/CIC International Conference on Communications in China (ICCC),3,1,10.1109/ICCC62479.2024.10681925,https://doi.org/10.1109/ICCC62479.2024.10681925,semantic_scholar,Shisheng Hu|Jie Gao|Xinyu Huang|Conghao Zhou|Mingcheng He|X. Shen,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Longitudinal evaluation of serum neurofilament light levels in normal healthy volunteers: defining a threshold of concern,"Neurofilament light (NfL) is a neuron-specific protein integral to neuronal cytoskeletons. Upon damage to the central or peripheral nervous system (NS), NfL is released into cerebrospinal fluid and blood. Elevated serum or plasma NfL levels...",2025,Journal of Neurology,3,0,10.1007/s00415-025-13246-2,https://doi.org/10.1007/s00415-025-13246-2,semantic_scholar,T. Lanz|Klemens Ruprecht|Christopher J. Somps|Jens C. Göpfert|Tony Kam-Thong|Fetene Tekle|K. Fader|Viviana A. Carcamo Yañez|V. Meyer|Sabine Friedrich|Katerina Vlasakova|C. Otto|S. Paciga|Sophia L. Samodelov|Shashi K. Ramaiah,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Deep Learning Approach for Ear Recognition and Longitudinal Evaluation in Children,"Ear recognition as a biometric modality is becoming increasingly popular, with promising broader application areas. While current applications involve adults, one of the challenges in ear recognition for children is the rapid structural cha...",2024,Biometrics and Electronic Signatures,3,0,10.1109/BIOSIG61931.2024.10786753,https://doi.org/10.1109/BIOSIG61931.2024.10786753,semantic_scholar,Afzal Hossain|Tipu Sultan|S. Schuckers,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Pain in recessive dystrophic epidermolysis bullosa (RDEB): findings of the Prospective Epidermolysis Bullosa Longitudinal Evaluation Study (PEBLES),"Pain is common in the genetic skin fragility disorder epidermolysis bullosa (EB), from skin and mucosal injury and inflammation as well as extra-mucocutaneous sites. Individuals living with EB have identified pain as a priority for better t...",2024,Orphanet Journal of Rare Diseases,3,0,10.1186/s13023-024-03349-w,https://doi.org/10.1186/s13023-024-03349-w,semantic_scholar,Eunice Jeffs|Elizabeth I. Pillay|Lesedi Ledwaba-Chapman|A. Bisquera|Susan J. Robertson|John McGrath|Yanzhong Wang|Anna E Martinez|J. Mellerio,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Interpretable Model Drift Detection,"Data in the real world often has an evolving distribution. Thus, machine learning models trained on such data get outdated over time. This phenomenon is called model drift. Knowledge of this drift serves two purposes: (i) Retain an accurate...",2024,COMAD/CODS,2,0,10.1145/3632410.3632434,https://doi.org/10.1145/3632410.3632434,semantic_scholar,Pranoy Panda|Sai Srinivas Kancheti|Vineeth N. Balasubramanian|Gaurav Sinha,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Effects of Model Drift on Ship Detection Models,: The rapid and accurate detection of ships within the wide sea area is essential for maritime applications. Many machine learning (ML) based object detection models have been investigated to detect ships in remote sensing imagery in previo...,2024,VISIGRAPP : VISAPP,2,0,10.5220/0012443600003660,https://doi.org/10.5220/0012443600003660,semantic_scholar,Namita Agarwal|A. Vo|Michela Bertolotto|Alan Barnett|Ahmed Khalid|Merry Globin,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Longitudinal evaluation of neointimal formation using optical coherence tomography for an intracranial aneurysm with flow diverter placement in vivo: preliminary experience,Placement of a flow diverter (FD) has been a mainstream treatment for intracranial aneurysms. Neointimal formation in the aneurysmal neck and stent struts is important for promoting aneurysm healing and reducing ischemic complications. Alth...,2025,Journal of NeuroInterventional Surgery,2,0,10.1136/jnis-2024-022947,https://doi.org/10.1136/jnis-2024-022947,semantic_scholar,Y. Matsuda|Ryo Aiura|Eisuke Hirose|Tohru Mizutani,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
LongEval at CLEF 2025: Longitudinal Evaluation of IR Systems on Web and Scientific Data,"The LongEval lab focuses on the evaluation of information retrieval systems over time. Two datasets are provided that capture evolving search scenarios with changing documents, queries, and relevance assessments. Systems are assessed from a...",2025,Conference and Labs of the Evaluation Forum,2,0,10.1007/978-3-032-04354-2_20,https://doi.org/10.1007/978-3-032-04354-2_20,semantic_scholar,Matteo Cancellieri|Alaa El-Ebshihy|Tobias Fink|Maik Fröbe|Petra Galuščáková|Gabriela Nicole González Sáez|Lorraine Goeuriot|David Iommi|Jüri Keller|Petr Knoth|P. Mulhem|Florina Piroi|David Pride|Philipp Schaer,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
SARD at LongEval: On Longitudinal Evaluation of IR Systems by Using Query Rewriting and Hybrid Queries,,2025,Conference and Labs of the Evaluation Forum,2,1,,,semantic_scholar,Damiano Caon|Riccardo Dal Maschio|Alessandro Disarò|Sofia Maule|Nicola Ferro,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Quantifying Model Drift in Machine Learning for Estimating Wireless Link Quality,"Deploying Machine Learning (ML) models in wireless networks comes with challenges beyond standard performance evaluation, particularly in their ability to remain reliable under changing network conditions. This study highlights some of thes...",2025,International Mediterranean Conference on Communications and Networking,0,0,10.1109/MeditCom64437.2025.11104484,https://doi.org/10.1109/MeditCom64437.2025.11104484,semantic_scholar,Aswin Palathumveettil Jagadeesan|Isikcan Yilmaz|Alexandros Palaios|Giang T. Nguyen|F. Fitzek,0.25,kw:title:model drift,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Longitudinal Evaluation of the HABC Monitor Among Trauma Survivors,Purpose To examine the sensitivity to change of the Healthy Aging Brain Care Monitor (HABC-M) through a longitudinal analytical comparison with reference standards. Patients and Methods We used longitudinal data from 120 participants in a m...,2025,Clinical Interventions in Aging,0,0,10.2147/CIA.S492210,https://doi.org/10.2147/CIA.S492210,semantic_scholar,Abdelfattah Alhader|Anthony Perkins|Patrick O. Monahan|Ben L Zarzaur|Cristina Barboi|Malaz A Boustani,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
Longitudinal Evaluation of Delirium in Liver Transplant Recipients.,Background Increasingly shorter intensive care unit stays have limited the screening for delirium and therefore our understanding of delirium risk and characteristics in the modern liver transplant population. Objective We sought to evaluat...,2025,Delirium,0,0,10.56392/001c.146699,https://doi.org/10.56392/001c.146699,semantic_scholar,J. Ruck|Alexis A Jefferis|M. Teles|A. Teles|Sherif Helmy|Andrew Cameron|Karin Neufeld|Esther S. Oh|Elizabeth A King,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
HeppSY Uni Connect Outreach: Longitudinal Evaluation,"<jats:p>The Higher Education Progression Partnership South Yorkshire (HeppSY) is part of the Uni Connect Programme (UCP), funded by the Office for Students. The main focus of Uni Connect is to provide targeted higher education (HE) outreach...",2023,,0,0,10.7190/steer/longitudinal,https://doi.org/10.7190/steer/longitudinal,crossref,Daniel Fletcher,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"Review for ""A longitudinal evaluation of fatigue in chronic inflammatory demyelinating polyneuropathy""",,2022,,0,0,10.1002/brb3.2712/v1/review2,https://doi.org/10.1002/brb3.2712/v1/review2,crossref,,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
"Decision letter for ""A longitudinal evaluation of fatigue in chronic inflammatory demyelinating polyneuropathy""",,2022,,0,0,10.1002/brb3.2712/v1/decision1,https://doi.org/10.1002/brb3.2712/v1/decision1,crossref,,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
United Through Reading: Longitudinal Evaluation 18-Month Findings,,2025,,0,0,10.14305/rt.ivmf.2025.4,https://doi.org/10.14305/rt.ivmf.2025.4,crossref,Erica Hawvermale|Cassidy Cooper|Bonnie Chapman-Beers,0.25,kw:title:longitudinal evaluation,matched 1 term(s); primary_in_title_or_abstract=False; raw_score=2.0
